Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,156739,7297,0,149442,0,4.66,0.0,0.0,38928341,4026.0,156456,283,0.18
Albania,195021,3022,0,191999,549,1.55,0.0,0.0,2877800,67767.0,191440,3581,1.87
Algeria,208532,6009,0,202523,152,2.88,0.0,0.0,43851043,4755.0,207624,908,0.44
Andorra,16035,130,0,15905,63,0.81,0.0,0.0,77265,207533.0,15744,291,1.85
Angola,64985,1729,0,63256,17,2.66,0.0,0.0,32866268,1977.0,64857,128,0.2
Antigua and Barbuda,4129,108,0,4021,0,2.62,0.0,0.0,97928,42164.0,4102,27,0.66
Argentina,5312089,116341,0,5195748,1755,2.19,0.0,0.0,45195777,117535.0,5302445,9644,0.18
Armenia,331914,7183,0,324731,1019,2.16,0.0,0.0,2963234,112011.0,325521,6393,1.96
Australia,195617,1933,0,193684,1505,0.99,0.0,0.0,50919400,3842.0,187041,8576,4.59
Austria,1011465,11903,0,999562,15145,1.18,0.0,0.0,9006400,112305.0,923150,88315,9.57
Azerbaijan,568089,7551,0,560538,2124,1.33,0.0,0.0,10139175,56029.0,554096,13993,2.53
Bahamas,22640,671,0,21969,11,2.96,0.0,0.0,393248,57572.0,22552,88,0.39
Bahrain,277304,1393,0,275911,22,0.5,0.0,0.0,1701583,162968.0,277165,139,0.05
Bangladesh,1573458,27939,0,1545519,244,1.78,0.0,0.0,164689383,9554.0,1571906,1552,0.1
Barbados,23175,205,0,22970,252,0.88,0.0,0.0,287371,80645.0,21311,1864,8.75
Belarus,634731,4901,0,629830,1844,0.77,0.0,0.0,9449321,67172.0,621689,13042,2.1
Belgium,1559998,26526,0,1533472,16699,1.7,0.0,0.0,22985282,67869.0,1463548,96450,6.59
Belize,29501,558,0,28943,115,1.89,0.0,0.0,397621,74194.0,28749,752,2.62
Benin,24846,161,0,24685,13,0.65,0.0,0.0,12123198,2049.0,24833,13,0.05
Bhutan,2629,3,0,2626,0,0.11,0.0,0.0,771612,3407.0,2623,6,0.23
Bolivia,527380,19049,0,508331,1074,3.61,0.0,0.0,11673029,45179.0,521518,5862,1.12
Bosnia and Herzegovina,267851,12180,0,255671,857,4.55,0.0,0.0,3280815,81642.0,262906,4945,1.88
Botswana,194445,2416,0,192029,316,1.24,0.0,0.0,2351625,82685.0,193701,744,0.38
